name,team_name,game_date,season_Playoff,espn_player_id_Playoff,team_id_Playoff,espn_game_id_Playoff,period_Playoff,minutes_remaining_Playoff,seconds_remaining_Playoff,shot_made_flag_Playoff,action_type_Playoff,shot_type_Playoff,shot_distance_Playoff,opponent_Playoff,x_Playoff,y_Playoff,dribbles_Playoff,touch_time_Playoff,defender_name_Playoff,defender_distance_Playoff,shot_clock
Stephen Curry,Golden State Warriors,6/5/2016,2015,3975,1610612744,400878155,1,2,57,1,Driving Floating Bank Jump Shot,2PT Field Goal,7,Cleveland Cavaliers,-56,52,0,0,,0,0
Stephen Curry,Golden State Warriors,5/24/2016,2015,3975,1610612744,400876753,4,7,42,1,Driving Floating Bank Jump Shot,2PT Field Goal,10,Oklahoma City Thunder,84,56,0,0,,0,0
Stephen Curry,Golden State Warriors,5/30/2016,2015,3975,1610612744,400876756,2,0,1,1,Driving Floating Jump Shot,2PT Field Goal,7,Oklahoma City Thunder,-37,61,0,0,,0,0
Stephen Curry,Golden State Warriors,6/13/2016,2015,3975,1610612744,400878158,1,2,21,1,Driving Floating Jump Shot,2PT Field Goal,6,Cleveland Cavaliers,2,62,0,0,,0,0
Stephen Curry,Golden State Warriors,5/6/2018,2017,3975,1610612744,401031647,4,10,1,1,Driving Floating Jump Shot,2PT Field Goal,20,New Orleans Pelicans,29,202,0,0,,0,0
Stephen Curry,Golden State Warriors,6/10/2016,2015,3975,1610612744,400878157,3,2,19,0,Driving Floating Jump Shot,2PT Field Goal,8,Cleveland Cavaliers,-78,21,0,0,,0,0
Stephen Curry,Golden State Warriors,5/30/2016,2015,3975,1610612744,400876756,1,8,59,0,Driving Floating Jump Shot,2PT Field Goal,4,Oklahoma City Thunder,-16,47,0,0,,0,0
Stephen Curry,Golden State Warriors,5/4/2018,2017,3975,1610612744,401031646,1,0,11,0,Driving Floating Jump Shot,2PT Field Goal,11,New Orleans Pelicans,-9,116,0,0,,0,0
Stephen Curry,Golden State Warriors,5/9/2015,2014,3975,1610612744,400792890,3,9,7,1,Driving Jump shot,2PT Field Goal,3,Memphis Grizzlies,31,9,5,5.2,"Conley, Mike",4.2,16.8
Stephen Curry,Golden State Warriors,5/27/2015,2014,3975,1610612744,400796359,2,5,36,1,Driving Jump shot,2PT Field Goal,4,Houston Rockets,-4,44,3,3.2,"Terry, Jason",2.4,14.5
Stephen Curry,Golden State Warriors,5/1/2014,2013,3975,1610612744,400553092,2,10,0,0,Driving Jump shot,2PT Field Goal,4,Los Angeles Clippers,9,42,5,8.7,"Collison, Darren",2.4,18.8
Stephen Curry,Golden State Warriors,5/8/2013,2012,3975,1610612744,400464175,2,3,29,0,Driving Jump shot,2PT Field Goal,5,San Antonio Spurs,28,44,,,,,
Stephen Curry,Golden State Warriors,5/1/2014,2013,3975,1610612744,400553092,1,1,0,1,Fadeaway Jump Shot,2PT Field Goal,13,Los Angeles Clippers,-131,17,3,2.6,"Collison, Darren",5.2,11
Stephen Curry,Golden State Warriors,4/30/2013,2012,3975,1610612744,400459948,2,0,0,0,Fadeaway Jump Shot,2PT Field Goal,18,Denver Nuggets,-18,186,,,,,
Stephen Curry,Golden State Warriors,5/27/2015,2014,3975,1610612744,400796359,1,1,9,1,Fadeaway Jump Shot,3PT Field Goal,27,Houston Rockets,168,214,1,1.7,"Brewer, Corey",7.1,16
Stephen Curry,Golden State Warriors,4/20/2013,2012,3975,1610612744,400459943,3,7,30,1,Fadeaway Jump Shot,2PT Field Goal,16,Denver Nuggets,138,88,,,,,
Stephen Curry,Golden State Warriors,5/22/2016,2015,3975,1610612744,400876752,1,11,34,1,Fadeaway Jump Shot,2PT Field Goal,13,Oklahoma City Thunder,-109,75,0,0,,0,0
Stephen Curry,Golden State Warriors,5/16/2016,2015,3975,1610612744,400876750,4,0,7,0,Fadeaway Jump Shot,3PT Field Goal,26,Oklahoma City Thunder,12,267,0,0,,0,0
Stephen Curry,Golden State Warriors,5/9/2015,2014,3975,1610612744,400792890,2,0,0,0,Fadeaway Jump Shot,2PT Field Goal,20,Memphis Grizzlies,-158,124,2,4.9,"Conley, Mike",3.1,0
Stephen Curry,Golden State Warriors,6/14/2015,2014,3975,1610612744,400796849,4,1,22,1,Fadeaway Jump Shot,3PT Field Goal,29,Cleveland Cavaliers,152,247,19,16.2,"Dellavedova, Matthew",5.6,8.1
